id,expense_date,category,amount
1,1/1/2022,Shopping,11.11
2,1/2/2022,Mortgage & Rent,1247.44
3,1/2/2022,Food & Dining,24.22
4,1/4/2022,Entertainment,11.76
5,1/5/2022,Food & Dining,25.85
6,1/6/2022,Home Improvement,18.45
7,1/8/2022,Utilities,45
8,1/8/2022,Home Improvement,15.38
9,1/9/2022,Entertainment,10.69
10,1/10/2022,Utilities,89.46
11,1/11/2022,Utilities,34.87
12,1/11/2022,Groceries,43.54
13,1/13/2022,Food & Dining,32.91
14,1/13/2022,Shopping,39.05
15,1/15/2022,Groceries,44.19
16,1/15/2022,Food & Dining,64.11
17,1/16/2022,Utilities,35
18,1/16/2022,Utilities,60
19,1/20/2022,Shopping,50.21
20,1/22/2022,Credit Card Payment,554.99
21,1/22/2022,Home Improvement,17.38
22,1/23/2022,Credit Card Payment,309.81
23,1/24/2022,Food & Dining,3
24,1/25/2022,Utilities,69.99
25,1/29/2022,Utilities,30.42
26,1/29/2022,Food & Dining,25
27,1/29/2022,Food & Dining,17.62
28,2/1/2022,Groceries,27.79
29,2/1/2022,Shopping,11.11
30,2/2/2022,Mortgage & Rent,1247.44
31,2/3/2022,Food & Dining,57.02
32,2/4/2022,Entertainment,11.76
33,2/7/2022,Credit Card Payment,154.13
34,2/7/2022,Utilities,65
35,2/9/2022,Personal Care,30
36,2/9/2022,Entertainment,10.69
37,2/10/2022,Food & Dining,10.66
38,2/11/2022,Food & Dining,106.8
39,2/12/2022,Utilities,36.47
40,2/12/2022,Utilities,89.52
41,2/14/2022,Entertainment,14
42,2/15/2022,Food & Dining,10
43,2/15/2022,Utilities,60
44,2/16/2022,Food & Dining,8
45,2/16/2022,Utilities,35
46,2/20/2022,Groceries,35.95
47,2/20/2022,Food & Dining,23.51
48,2/21/2022,Food & Dining,2
49,2/22/2022,Food & Dining,4
50,2/26/2022,Credit Card Payment,765.37
51,2/26/2022,Utilities,74.99
52,2/26/2022,Food & Dining,85.52
53,2/26/2022,Utilities,32.21
54,2/27/2022,Credit Card Payment,156.11
55,3/1/2022,Groceries,32.07
56,3/1/2022,Shopping,13.13
57,3/2/2022,Mortgage & Rent,1247.44
58,3/3/2022,Groceries,23.74
59,3/4/2022,Groceries,10.69
60,3/4/2022,Entertainment,11.76
61,3/4/2022,Food & Dining,42.24
62,3/5/2022,Food & Dining,3
63,3/5/2022,Credit Card Payment,761.59
64,3/7/2022,Food & Dining,3.5
65,3/8/2022,Utilities,34.9
66,3/8/2022,Utilities,52
67,3/9/2022,Groceries,20.72
68,3/9/2022,Groceries,5.09
69,3/9/2022,Entertainment,10.69
70,3/12/2022,Groceries,19.35
71,3/12/2022,Utilities,89.52
72,3/13/2022,Shopping,45.75
73,3/14/2022,Groceries,22.5
74,3/14/2022,Food & Dining,8.49
75,3/15/2022,Food & Dining,3.5
76,3/15/2022,Utilities,60
77,3/17/2022,Entertainment,19.5
78,3/17/2022,Food & Dining,23.34
79,3/19/2022,Food & Dining,36.48
80,3/19/2022,Utilities,35
81,3/20/2022,Shopping,14.97
82,3/22/2022,Utilities,30.55
83,3/23/2022,Credit Card Payment,559.91
84,3/23/2022,Groceries,11.76
85,3/26/2022,Utilities,74.99
86,3/28/2022,Groceries,16.06
