income_date,amount
1/3/2022,2298.09
1/12/2022,2000
1/19/2022,2000
1/22/2022,554.99
1/22/2022,309.81
2/2/2022,2000
2/5/2022,145.14
2/6/2022,154.13
2/16/2022,2000
2/26/2022,765.37
2/26/2022,156.11
3/2/2022,2000
3/5/2022,761.59
3/16/2022,2000
3/23/2022,559.91
3/30/2022,2000
4/2/2022,817.14
4/4/2022,363.08
4/13/2022,2000
4/26/2022,769.72
4/26/2022,1216.94
4/27/2022,2000
5/9/2022,601.4
5/11/2022,2000
5/19/2022,207.08
5/21/2022,283.07
5/25/2022,2000
6/2/2022,235.18
6/2/2022,466.36
6/8/2022,2000
6/14/2022,283.44
6/20/2022,89.45
6/22/2022,2000
6/25/2022,942.76
7/6/2022,2000
7/8/2022,259.87
7/9/2022,242.16
7/20/2022,61.43
7/20/2022,102.88
7/20/2022,2000
8/2/2022,816.27
8/3/2022,2000
8/15/2022,269.56
8/15/2022,159.38
8/17/2022,2000
8/21/2022,34.18
8/21/2022,99.76
8/31/2022,2000
9/4/2022,687.29
9/14/2022,134.34
9/14/2022,2000
9/28/2022,128.12
9/28/2022,284.96
9/28/2022,2000
10/2/2022,124.03
10/12/2022,2000
10/21/2022,544.37
10/22/2022,353.83
10/26/2022,2000
11/2/2022,262.51
11/9/2022,2000
11/20/2022,421.96
11/23/2022,2000
11/29/2022,582.99
11/29/2022,751.5
12/7/2022,2000
12/18/2022,311.02
12/20/2022,464.03
12/21/2022,2000
12/29/2022,860.05
